W_REGN;TRICE;TBREAD;TMEAT;TRESTAURANT;TCLOTHFOOTWEAR;TTRANSPORT
Central Luzon;15494;9066;16452;14725;2750;9804
Central Luzon;11076;19220;25554;46920;13790;26064
Central Luzon;8784;7462;13988;8300;22030;14604
Central Luzon;15427;5394;14634;37400;10630;13692
Central Luzon;16100;4226;9185;73860;8740;41760
Central Luzon;11669;7732;14704;22875;7330;28698
Central Luzon;11508;175;10016;0;460;120
Central Luzon;21090;4544;11900;24930;7110;11382
Central Luzon;11596;2448;24622;69350;9750;15774
Central Luzon;16310;3288;6768;4550;2110;6342
Central Luzon;13498;4530;58933;40620;5409;34896
Central Luzon;16985;2776;5849;42070;4250;4170
Central Luzon;5058;2307;7454;2200;1850;5520
Central Luzon;10200;7376;25651;19850;7030;15900
Central Luzon;14400;1084;22910;12407;285;29286
Central Luzon;8892;2418;3810;5200;150;1458
Central Luzon;13923;3690;2426;15400;1160;1200
Central Luzon;14391;0;960;6660;515;19740
Central Luzon;14378;4712;20918;24800;2505;23190
Central Luzon;10624;7752;27382;8000;4085;6654
Central Luzon;0;0;0;32690;1000;16344
Central Luzon;5738;6178;38577;169400;77520;73200
Central Luzon;13689;5440;9230;14910;690;11382
Central Luzon;16690;338;14449;45895;5789;28572
Central Luzon;21825;1820;28720;51410;640;31716
Central Luzon;20000;5300;33001;15600;20950;27258
Central Luzon;3360;2132;690;14300;3230;5550
Central Luzon;11700;2852;30870;24900;12640;17196
Central Luzon;17240;8346;47618;54732;27500;29226
Central Luzon;7800;4620;22240;21780;15600;16158
Central Luzon;21690;4778;34595;24480;3260;31800
Central Luzon;17900;2080;27141;6550;2795;47490
Central Luzon;8400;4282;25531;11350;6350;4908
Central Luzon;15060;1734;16028;20580;2895;29412
Central Luzon;12950;1060;12523;15840;2450;15240
Central Luzon;18470;4392;20252;12358;4294;14976
Central Luzon;10296;4420;14946;14280;4455;13398
Central Luzon;8820;1524;16436;33500;6450;23652
Central Luzon;17100;1300;23020;0;660;6600
Central Luzon;15270;2020;25033;12100;3680;10422
Central Luzon;16280;2840;26220;3000;2465;1932
Central Luzon;10800;6268;12620;24150;8095;10278
Central Luzon;18480;3144;12400;32000;6930;41892
Central Luzon;25665;5816;6273;31900;2545;24306
Central Luzon;38808;8226;35494;49580;7155;10500
Central Luzon;21372;6176;13482;5600;1510;1842
Central Luzon;25550;10256;14362;8296;10110;2070
Central Luzon;16931;12380;51377;25600;24950;24018
Central Luzon;11458;2174;10219;75;9440;8970
Central Luzon;18642;3824;15013;36588;4445;35064
Central Luzon;19775;1943;35137;24545;12350;26766
Central Luzon;8918;1699;14624;4740;2060;15078
Central Luzon;19373;6150;18104;15250;5420;11130
Central Luzon;24388;5424;31076;29980;7920;12480
Central Luzon;14225;9788;29590;40120;44070;106818
Central Luzon;13425;2310;14218;20590;3325;28080
Central Luzon;12639;4306;26124;14430;4484;25812
Central Luzon;8112;404;5475;18899;6420;18720
Central Luzon;19840;13317;32884;14480;7514;4740
Central Luzon;22340;5683;27434;9620;7090;5022
Central Luzon;16429;3258;8629;4200;70;6240
Central Luzon;9127;7146;25771;39580;12234;10356
Central Luzon;8840;215;7345;15640;5323;8640
Central Luzon;20450;9650;66388;36380;24810;50418
Central Luzon;35939;4154;17746;25740;2560;39144
Central Luzon;15264;7162;31074;17295;7440;1920
Central Luzon;10060;6042;19174;12800;8360;6198
Central Luzon;9750;1378;9498;39500;6970;12480
Central Luzon;5465;1404;4500;17512;3230;10668
